Team,Venue,Batters,Bowlers,AllRounders

RSA,RSA,5,4,2

IND,RSA,4,4,3

NZ,NZ,5,3,3

ENG,NZ,5,3,3

AUS,AUS,5,4,2

IND,AUS,6,3,2

IND,IND,6,2,3

NZ,IND,5,4,2

IND,IND,6,2,3

NZ,IND,5,3,3

NZ,NZ,5,3,3
ENG,NZ,5,2,4
NZ,NZ,5,3,3
ENG,NZ,5,2,4
WI,WI,5,4,2
ENG,WI,2,2,7
RSA,RSA,6,3,2
SL,RSA,4,4,3
BAN,BAN,7,3,1
RSA,BAN,6,3,2
RSA,RSA,6,4,1
PAK,RSA,5,5,1
RSA,RSA,7,3,1
SL,RSA,4,4,3
IND,IND,6,2,3
NZ,IND,5,3,3
ENG,ENG,4,4,3
AUS,ENG,5,3,3
WI,WI,5,4,2
ENG,WI,2,2,7
WI,WI,4,4,3
ENG,WI,2,3,6
WI,WI,4,3,4
ENG,WI,2,3,6
IND,IND,6,3,2
NZ,IND,5,4,2
AUS,AUS,4,4,3
PAK,AUS,4,4,3
AUS,AUS,4,4,3
PAK,AUS,5,4,2
ENG,ENG,4,4,3
AUS,ENG,5,3,3
ENG,ENG,7,3,1
IND,ENG,6,4,1
ENG,ENG,6,3,2
IND,ENG,6,4,1
ENG,ENG,6,2,3
IND,ENG,6,4,1
IND,IND,6,3,2
AUS,IND,4,2,5
IND,IND,6,3,2
AUS,IND,5,3,3
ENG,ENG,6,3,2
AUS,ENG,5,4,2
ENG,ENG,6,4,1
AUS,ENG,5,4,2
